#rn6.ensGene.name	rn6.ensGene.chrom	rn6.ensGene.strand	rn6.ensGene.txStart	rn6.ensGene.txEnd	rn6.ensGene.name2	rn6.ensemblToGeneName.value
ENSRNOT00000071159.1	chr11	+	86276615	86282451	ENSRNOG00000049686.1	Mrpl40
ENSRNOT00000071453.1	chr11	-	86299209	86303453	ENSRNOG00000048861.1	LOC498122
ENSRNOT00000071493.2	chr11	-	86304814	86328469	ENSRNOG00000047394.2	Ufd1l
ENSRNOT00000072027.2	chr11	+	86329011	86358453	ENSRNOG00000050071.2	Cdc45
ENSRNOT00000071806.2	chr11	-	86356293	86357718	ENSRNOG00000045811.2	Cldn5
ENSRNOT00000002599.6	chr11	+	86421105	86422907	ENSRNOG00000001893.6	AABR07034742.1
ENSRNOT00000074909.1	chr11	-	86421212	86421321	ENSRNOG00000046010.1	AABR07034742.2
ENSRNOT00000087019.1	chr11	-	86504031	86506006	ENSRNOG00000058421.1	AABR07034745.1
ENSRNOT00000051680.6	chr11	+	86512796	86519915	ENSRNOG00000029912.6	Sept5
ENSRNOT00000041168.5	chr11	+	86516389	86522168	ENSRNOG00000029912.6	Sept5
ENSRNOT00000040954.4	chr11	+	86520991	86522169	ENSRNOG00000046981.2	Gp1bb
ENSRNOT00000002597.5	chr11	+	86552021	86560969	ENSRNOG00000001892.5	Tbx1
ENSRNOT00000002593.7	chr11	-	86667996	86716063	ENSRNOG00000001890.7	Txnrd2
ENSRNOT00000081972.1	chr11	-	86669068	86716254	ENSRNOG00000001890.7	Txnrd2
ENSRNOT00000050269.5	chr11	+	86715980	86735622	ENSRNOG00000001889.7	Comt
ENSRNOT00000091566.1	chr11	-	86760957	86761092	ENSRNOG00000060264.1	SCARNA14
ENSRNOT00000078553.1	chr11	-	86786454	86786620	ENSRNOG00000056169.1	U1
ENSRNOT00000083049.1	chr11	+	86797556	86840573	ENSRNOG00000030245.5	Tango2
ENSRNOT00000046594.5	chr11	+	86797560	86840555	ENSRNOG00000030245.5	Tango2
ENSRNOT00000053708.1	chr11	+	86812701	86812781	ENSRNOG00000035585.1	Mir185
ENSRNOT00000002581.5	chr11	+	86852710	86885224	ENSRNOG00000001886.5	Dgcr8
ENSRNOT00000073916.1	chr11	+	86857311	86857399	ENSRNOG00000049439.1	AABR07072264.1
ENSRNOT00000063307.2	chr11	+	86857631	86857711	ENSRNOG00000041554.2	Mir1306
ENSRNOT00000046183.4	chr11	-	86885625	86890390	ENSRNOG00000001885.7	Trmt2a
ENSRNOT00000002579.5	chr11	+	86890584	86898818	ENSRNOG00000001884.5	RGD1565297
ENSRNOT00000084343.1	chr11	+	86897948	86898073	ENSRNOG00000052026.1	SNORA77
ENSRNOT00000048063.3	chr11	+	86903121	86915715	ENSRNOG00000021891.5	Zdhhc8
ENSRNOT00000063878.2	chr11	-	86917666	86920094	ENSRNOG00000042711.2	RGD1563782
ENSRNOT00000089244.1	chr11	-	86921737	86931923	ENSRNOG00000052689.1	AABR07072264.2
ENSRNOT00000082278.1	chr11	+	86922952	86929588	ENSRNOG00000058902.1	AABR07072264.3
ENSRNOT00000072850.1	chr11	+	86979007	86979087	ENSRNOG00000045628.1	AABR07034748.1
ENSRNOT00000051037.5	chr11	-	86992398	87017115	ENSRNOG00000030920.5	Rtn4r
ENSRNOT00000002576.7	chr11	+	87058615	87075785	ENSRNOG00000000281.7	Prodh
ENSRNOT00000082855.1	chr11	+	87058639	87075625	ENSRNOG00000000281.7	Prodh
ENSRNOT00000002574.6	chr11	-	87076380	87081950	ENSRNOG00000001880.6	Dgcr6
ENSRNOT00000077156.1	chr11	-	87118269	87118451	ENSRNOG00000054109.1	AC141516.1
ENSRNOT00000002517.5	chr11	-	87157886	87158597	ENSRNOG00000001839.5	Vpreb2
ENSRNOT00000000306.5	chr11	+	87204174	87207264	ENSRNOG00000038001.3	Slc25a1
ENSRNOT00000041975.3	chr11	+	87220617	87222606	ENSRNOG00000000282.5	Gsc2
ENSRNOT00000057806.2	chr11	-	87221612	87236445	ENSRNOG00000037997.2	Tssk2
ENSRNOT00000000308.4	chr11	+	87224420	87233326	ENSRNOG00000000283.4	Dgcr14
ENSRNOT00000052200.3	chr11	-	87239411	87240833	ENSRNOG00000032856.3	Tssk1b
ENSRNOT00000083415.1	chr11	+	87242521	87292955	ENSRNOG00000061814.1	AC141516.3
ENSRNOT00000089423.1	chr11	+	87295181	87298775	ENSRNOG00000057036.1	AC141516.2
ENSRNOT00000090971.1	chr11	+	87345864	87360080	ENSRNOG00000060228.1	AABR07034750.1
ENSRNOT00000040978.4	chr11	+	87366620	87380378	ENSRNOG00000037957.4	Aifm3
ENSRNOT00000086117.1	chr11	+	87374689	87380704	ENSRNOG00000037957.4	Aifm3
ENSRNOT00000002554.6	chr11	+	87381898	87397498	ENSRNOG00000001870.6	Lztr1
ENSRNOT00000057751.4	chr11	-	87399482	87403367	ENSRNOG00000037967.4	Thap7
ENSRNOT00000002558.6	chr11	+	87435184	87445219	ENSRNOG00000001873.6	P2rx6
ENSRNOT00000002560.5	chr11	-	87446381	87449940	ENSRNOG00000001874.7	Slc7a4
ENSRNOT00000079948.1	chr11	-	87479958	87485833	ENSRNOG00000060656.1	AABR07034751.1
ENSRNOT00000043545.5	chr11	+	87522970	87546687	ENSRNOG00000001875.7	Smpd4
ENSRNOT00000079319.1	chr11	+	87547800	87547907	ENSRNOG00000054912.1	U6
ENSRNOT00000002567.6	chr11	+	87549058	87553336	ENSRNOG00000001876.6	Ccdc74a
ENSRNOT00000000313.7	chr11	+	87722349	87733734	ENSRNOG00000000288.7	Scarf2
ENSRNOT00000000312.5	chr11	-	87759535	87762301	ENSRNOG00000037983.3	Car15
ENSRNOT00000052250.4	chr11	-	87767158	87769761	ENSRNOG00000029216.4	AABR07072266.1
ENSRNOT00000002552.5	chr11	-	87778311	87815043	ENSRNOG00000001868.6	LOC100911248
ENSRNOT00000002550.7	chr11	-	87827650	87858107	ENSRNOG00000001867.7	Snap29
ENSRNOT00000084973.1	chr11	-	87913805	87921679	ENSRNOG00000001865.7	Serpind1
ENSRNOT00000031819.5	chr11	-	87913818	87924816	ENSRNOG00000001865.7	Serpind1
ENSRNOT00000002546.3	chr11	-	87975526	87977368	ENSRNOG00000001864.3	Tmem191c
ENSRNOT00000079595.1	chr11	-	87988212	88016825	ENSRNOG00000051458.1	Hic2
ENSRNOT00000051991.4	chr11	-	88033179	88038518	ENSRNOG00000030452.4	Rimbp3
ENSRNOT00000079151.1	chr11	+	88049761	88049893	ENSRNOG00000060035.1	SNORA51
ENSRNOT00000002542.6	chr11	-	88090920	88092756	ENSRNOG00000001861.6	Ydjc
ENSRNOT00000078394.1	chr11	-	88090933	88093516	ENSRNOG00000001861.6	Ydjc
ENSRNOT00000041557.2	chr11	+	88095169	88098252	ENSRNOG00000001860.4	Ccdc116
ENSRNOT00000002540.5	chr11	+	88122270	88124513	ENSRNOG00000001859.5	Sdf2l1
ENSRNOT00000062155.1	chr11	+	88129425	88129503	ENSRNOG00000040402.1	Mir301b
ENSRNOT00000053664.1	chr11	+	88129772	88129854	ENSRNOG00000035541.1	Mir130b
ENSRNOT00000046664.3	chr11	+	88131959	88145481	ENSRNOG00000026918.4	RGD1308065
ENSRNOT00000034506.4	chr11	+	88147376	88169968	ENSRNOG00000026900.4	LOC100361537
ENSRNOT00000002539.7	chr11	-	88173889	88180542	ENSRNOG00000001858.7	Ypel1
ENSRNOT00000085475.1	chr11	-	88173889	88177448	ENSRNOG00000001858.7	Ypel1
ENSRNOT00000002533.7	chr11	-	88211598	88273254	ENSRNOG00000001849.7	Mapk1
ENSRNOT00000002524.5	chr11	-	88346312	88374679	ENSRNOG00000001845.5	Top3b
ENSRNOT00000081776.1	chr11	+	88376255	88377133	ENSRNOG00000052348.1	Vpreb1
ENSRNOT00000029851.4	chr11	+	88388377	88391370	ENSRNOG00000025990.4	Igll1
ENSRNOT00000090189.1	chr11	+	88403642	88403775	ENSRNOG00000058838.1	SNORA17
ENSRNOT00000089264.1	chr11	-	88542441	88547607	ENSRNOG00000055545.1	AABR07034761.2
ENSRNOT00000034210.6	chr11	+	88569699	88570624	ENSRNOG00000037898.4	AABR07034761.1
ENSRNOT00000034902.4	chr11	-	88882615	88888377	ENSRNOG00000025252.4	Yars2
ENSRNOT00000002498.7	chr11	-	88912598	88972176	ENSRNOG00000001825.7	Pkp2
ENSRNOT00000074586.2	chr11	+	89008007	89009146	ENSRNOG00000050869.2	Cebpd
ENSRNOT00000071647.1	chr11	-	89141609	89141718	ENSRNOG00000045755.1	5S_rRNA
ENSRNOT00000002511.5	chr11	+	89277038	89282929	ENSRNOG00000001834.5	Mzt2b
ENSRNOT00000031401.4	chr11	+	89557272	89591175	ENSRNOG00000001829.7	Ube2v2
ENSRNOT00000088212.1	chr11	+	89569488	89588385	ENSRNOG00000001829.7	Ube2v2
ENSRNOT00000091222.1	chr11	+	89831692	89834502	ENSRNOG00000052746.1	AABR07034795.1
ENSRNOT00000071986.1	chr11	-	90221055	90234286	ENSRNOG00000050091.1	Efcab1
ENSRNOT00000073049.2	chr11	-	90403332	90406797	ENSRNOG00000047699.2	Snai2
ENSRNOT00000085869.1	chr12	-	8111666	8418966	ENSRNOG00000032410.5	Mtus2
ENSRNOT00000033551.4	chr12	-	16749373	16813838	ENSRNOG00000022767.4	Elfn1
ENSRNOT00000074788.1	chr12	+	25161129	25168182	ENSRNOG00000050672.1	Syna
ENSRNOT00000001891.5	chr12	-	41907739	41993957	ENSRNOG00000001397.5	Rbm19
ENSRNOT00000000828.4	chr12	-	50320820	50333052	ENSRNOG00000000663.4	Tfip11
ENSRNOT00000001446.5	chr12	-	1023530	1195591	ENSRNOG00000001090.5	Stard13
ENSRNOT00000001298.7	chr12	+	2069958	2097904	ENSRNOG00000000977.8	Pnpla6
ENSRNOT00000072952.1	chr12	+	2070364	2097904	ENSRNOG00000000977.8	Pnpla6
ENSRNOT00000061252.5	chr12	+	6265747	6316948	ENSRNOG00000000904.8	Wdr95
ENSRNOT00000001203.7	chr12	+	6283287	6303753	ENSRNOG00000000904.8	Wdr95
ENSRNOT00000001458.7	chr12	+	13508428	13631689	ENSRNOG00000001101.7	Rnf216
ENSRNOT00000083976.1	chr12	+	13508932	13632304	ENSRNOG00000001101.7	Rnf216
ENSRNOT00000031149.6	chr12	-	14449236	14706658	ENSRNOG00000001103.7	Sdk1
ENSRNOT00000089775.1	chr12	-	14449239	15098786	ENSRNOG00000001103.7	Sdk1
ENSRNOT00000077967.1	chr12	-	14544119	15098768	ENSRNOG00000001103.7	Sdk1
ENSRNOT00000042421.1	chr12	-	17824661	17876435	ENSRNOG00000032693.1	LOC498155
ENSRNOT00000042215.5	chr12	-	19753209	19973166	ENSRNOG00000050572.3	Vom2r62
ENSRNOT00000072820.3	chr12	-	20943935	20978110	ENSRNOG00000047568.3	LOC100912655
ENSRNOT00000071324.2	chr12	-	20943935	20978110	ENSRNOG00000047568.3	LOC100912655
ENSRNOT00000042677.6	chr12	-	20943941	21077539	ENSRNOG00000047568.3	LOC100912655
ENSRNOT00000039280.5	chr12	-	22009010	22021851	ENSRNOG00000050805.2	Tsc22d4
ENSRNOT00000044800.2	chr12	+	27155586	27647036	ENSRNOG00000034287.2	Auts2l
ENSRNOT00000001185.4	chr12	-	29308340	29743705	ENSRNOG00000000886.4	Caln1
ENSRNOT00000011181.6	chr12	+	31934342	32607370	ENSRNOG00000008447.6	Tmem132d
ENSRNOT00000085464.1	chr12	+	32103197	32607281	ENSRNOG00000008447.6	Tmem132d
ENSRNOT00000064276.3	chr12	+	36694959	36761455	ENSRNOG00000000981.8	Scarb1
ENSRNOT00000001299.7	chr12	+	36695051	36761443	ENSRNOG00000000981.8	Scarb1
ENSRNOT00000049985.5	chr12	+	37702403	37760716	ENSRNOG00000001074.7	Mphosph9
ENSRNOT00000086244.1	chr12	+	37709859	37768957	ENSRNOG00000001074.7	Mphosph9
ENSRNOT00000057716.4	chr12	-	38786539	38805121	ENSRNOG00000001339.7	Psmd9
ENSRNOT00000001712.6	chr12	-	39822636	39850567	ENSRNOG00000001270.6	Hvcn1
ENSRNOT00000089043.1	chr12	-	45037882	45116665	ENSRNOG00000001138.7	Taok3
ENSRNOT00000001503.7	chr12	-	45037950	45182974	ENSRNOG00000001138.7	Taok3
ENSRNOT00000046882.4	chr12	+	46042412	46206747	ENSRNOG00000032684.4	Ccdc60
ENSRNOT00000001551.7	chr12	+	47179663	47209357	ENSRNOG00000001173.8	Cabp1
ENSRNOT00000078868.1	chr12	-	48127148	48238887	ENSRNOG00000000658.7	Acacb
ENSRNOT00000067453.3	chr12	-	52403528	52452040	ENSRNOG00000037449.4	Pole
ENSRNOT00000001475.7	chr12	+	504006	544748	ENSRNOG00000001111.7	Brca2
ENSRNOT00000001464.7	chr12	+	703280	794042	ENSRNOG00000001098.8	Pds5b
ENSRNOT00000064951.3	chr12	+	703289	791222	ENSRNOG00000001098.8	Pds5b
ENSRNOT00000050733.6	chr12	+	703289	791222	ENSRNOG00000001098.8	Pds5b
ENSRNOT00000041155.3	chr12	-	1680956	1816414	ENSRNOG00000029986.6	Insr
ENSRNOT00000067448.3	chr12	-	1682526	1816414	ENSRNOG00000029986.6	Insr
ENSRNOT00000066281.2	chr12	+	1889330	1998127	ENSRNOG00000028090.4	Arhgef18
ENSRNOT00000001415.6	chr12	+	2461501	2502432	ENSRNOG00000001069.6	Elavl1
ENSRNOT00000077396.1	chr12	-	2605677	2626310	ENSRNOG00000001034.7	Evi5l
ENSRNOT00000081463.1	chr12	+	3213227	3309752	ENSRNOG00000053067.1	AABR07035008.1
ENSRNOT00000081902.1	chr12	+	3223343	3320181	ENSRNOG00000053067.1	AABR07035008.1
ENSRNOT00000088456.1	chr12	+	3233960	3284155	ENSRNOG00000061869.1	AABR07035012.1
ENSRNOT00000041244.4	chr12	+	4310333	4436352	ENSRNOG00000040198.3	Vom2r60
ENSRNOT00000001418.5	chr12	-	4439749	4474729	ENSRNOG00000001072.5	Cers4
ENSRNOT00000041532.3	chr12	+	5057133	5201595	ENSRNOG00000048482.3	LOC100909453
ENSRNOT00000076483.2	chr12	-	5573728	5682608	ENSRNOG00000000894.8	Fry
ENSRNOT00000077167.1	chr12	-	5573729	5685448	ENSRNOG00000000894.8	Fry
ENSRNOT00000041365.6	chr12	-	5575431	5773036	ENSRNOG00000000894.8	Fry
ENSRNOT00000075920.1	chr12	-	5693413	5822874	ENSRNOG00000000894.8	Fry
ENSRNOT00000001197.3	chr12	-	6016883	6078411	ENSRNOG00000000897.5	Rxfp2
ENSRNOT00000083484.1	chr12	+	6403939	6473321	ENSRNOG00000061346.1	B3glct
ENSRNOT00000061246.3	chr12	-	6671939	6703979	ENSRNOG00000000905.6	Tex26
ENSRNOT00000001210.7	chr12	-	6929977	6956984	ENSRNOG00000000909.8	Uspl1
ENSRNOT00000072129.2	chr12	-	6930017	6956914	ENSRNOG00000000909.8	Uspl1
ENSRNOT00000001219.5	chr12	+	7208849	7271872	ENSRNOG00000000916.5	Katnal1
ENSRNOT00000077328.1	chr12	+	7454883	7548533	ENSRNOG00000047618.2	Katnal1
ENSRNOT00000078798.1	chr12	+	7464154	7548614	ENSRNOG00000047618.2	Katnal1
ENSRNOT00000064721.2	chr12	-	8113689	8156151	ENSRNOG00000032410.5	Mtus2
ENSRNOT00000001248.3	chr12	+	9034307	9205905	ENSRNOG00000000940.5	Flt1
ENSRNOT00000044134.6	chr12	-	9216535	9331195	ENSRNOG00000000942.8	Pan3
ENSRNOT00000001261.6	chr12	-	9693778	9727489	ENSRNOG00000000954.7	Rpo1-3
ENSRNOT00000071669.2	chr12	-	10716487	11082731	ENSRNOG00000047745.2	Cyp3a23/3a1
ENSRNOT00000085436.1	chr12	-	10716838	11082663	ENSRNOG00000047745.2	Cyp3a23/3a1
ENSRNOT00000084637.1	chr12	-	11127753	11144754	ENSRNOG00000060129.1	Zfp655
ENSRNOT00000087257.1	chr12	-	11655401	11733136	ENSRNOG00000032560.2	LOC100910877
ENSRNOT00000076813.1	chr12	-	11663682	11677830	ENSRNOG00000000978.7	Cyp3a2
ENSRNOT00000060843.3	chr12	+	12227013	12321171	ENSRNOG00000001007.6	Baiap2l1
ENSRNOT00000046381.4	chr12	-	12409875	12546111	ENSRNOG00000025155.5	Lmtk2
ENSRNOT00000001417.4	chr12	+	13090371	13110592	ENSRNOG00000001068.6	Rac1
ENSRNOT00000087094.1	chr12	+	13097268	13110592	ENSRNOG00000001068.6	Rac1
ENSRNOT00000044378.3	chr12	-	13221512	13251112	ENSRNOG00000030927.4	Grid2ip
ENSRNOT00000084865.1	chr12	+	13810179	13904818	ENSRNOG00000024482.6	Tnrc18
ENSRNOT00000038203.6	chr12	+	13810295	13910955	ENSRNOG00000024482.6	Tnrc18
ENSRNOT00000060608.3	chr12	+	14021726	14078134	ENSRNOG00000001113.6	Mmd2
ENSRNOT00000033998.4	chr12	+	14092540	14156704	ENSRNOG00000024456.5	Radil
ENSRNOT00000001667.6	chr12	+	15857804	16067921	ENSRNOG00000001241.8	Iqce
ENSRNOT00000039726.4	chr12	-	15976078	15996958	ENSRNOG00000024264.4	Amz1
ENSRNOT00000090318.1	chr12	-	15976687	16002788	ENSRNOG00000024264.4	Amz1
ENSRNOT00000001682.6	chr12	-	16118633	16126953	ENSRNOG00000001250.6	Lfng
ENSRNOT00000001696.3	chr12	+	16340921	16389497	ENSRNOG00000001258.3	Snx8
ENSRNOT00000001709.5	chr12	+	16410082	16719824	ENSRNOG00000001265.5	Mad1l1
ENSRNOT00000001734.5	chr12	+	17277634	17380494	ENSRNOG00000001289.5	LOC498154
ENSRNOT00000089590.1	chr12	+	17416326	17468212	ENSRNOG00000054033.1	Adap1
ENSRNOT00000092186.1	chr12	+	17416410	17467184	ENSRNOG00000054033.1	Adap1
ENSRNOT00000035545.5	chr12	-	17545467	17584466	ENSRNOG00000021312.5	Dnaaf5
ENSRNOT00000088813.1	chr12	-	17546122	17578737	ENSRNOG00000021312.5	Dnaaf5
ENSRNOT00000031896.6	chr12	+	17614631	17712373	ENSRNOG00000028733.6	Prkar1b
ENSRNOT00000001783.7	chr12	-	17913766	17972737	ENSRNOG00000001314.7	Fam20c
ENSRNOT00000030757.5	chr12	-	18464780	18487178	ENSRNOG00000001323.6	Zfp157
ENSRNOT00000011065.4	chr12	+	18996590	19030381	ENSRNOG00000008372.4	Vamp7
ENSRNOT00000001810.5	chr12	+	19262976	19277910	ENSRNOG00000039234.2	Zscan21
ENSRNOT00000060024.5	chr12	+	19512590	19529738	ENSRNOG00000027061.7	Nxpe5
ENSRNOT00000030161.5	chr12	+	19513099	19529738	ENSRNOG00000027061.7	Nxpe5
ENSRNOT00000082910.1	chr12	-	21722074	21761487	ENSRNOG00000024616.6	LOC102550456
ENSRNOT00000059592.2	chr12	-	21748632	21760292	ENSRNOG00000024616.6	LOC102550456
ENSRNOT00000075641.2	chr12	-	21866076	21923281	ENSRNOG00000046184.2	RGD1561143
ENSRNOT00000046100.4	chr12	-	21888291	21891105	ENSRNOG00000028965.4	RGD1566006
ENSRNOT00000038397.5	chr12	+	22142519	22152871	ENSRNOG00000024922.5	Fbxo24
ENSRNOT00000072208.2	chr12	-	22393329	22417980	ENSRNOG00000045952.2	Ephb4
ENSRNOT00000073046.1	chr12	+	22535671	22544479	ENSRNOG00000049592.1	Muc3
ENSRNOT00000001918.6	chr12	+	22665111	22676075	ENSRNOG00000001415.6	Ap1s1
ENSRNOT00000046412.4	chr12	-	22803854	22811058	ENSRNOG00000031346.4	Ift22
ENSRNOT00000059530.4	chr12	+	22835018	22979336	ENSRNOG00000001422.7	Col26a1
ENSRNOT00000059486.5	chr12	+	23151179	23445074	ENSRNOG00000001424.8	Cux1
ENSRNOT00000001950.6	chr12	-	23687965	23727564	ENSRNOG00000001432.7	Dtx2
ENSRNOT00000085911.1	chr12	-	23687965	23727535	ENSRNOG00000001432.7	Dtx2
ENSRNOT00000046343.4	chr12	+	23954573	23987271	ENSRNOG00000023366.5	Styxl1
ENSRNOT00000030497.4	chr12	+	24180936	24315373	ENSRNOG00000001448.5	Hip1
ENSRNOT00000001971.4	chr12	+	24367198	24438019	ENSRNOG00000001451.6	Fkbp6
ENSRNOT00000001975.7	chr12	-	24478897	24537313	ENSRNOG00000001453.7	Baz1b
ENSRNOT00000074851.1	chr12	-	24767350	24775891	ENSRNOG00000046700.1	Wbscr27
ENSRNOT00000079392.1	chr12	+	25264191	25370911	ENSRNOG00000001478.7	Gtf2ird1
ENSRNOT00000087656.1	chr12	+	25264399	25371001	ENSRNOG00000001478.7	Gtf2ird1
ENSRNOT00000077189.1	chr12	+	25411206	25488156	ENSRNOG00000001479.8	Gtf2i
ENSRNOT00000040356.4	chr12	+	25411493	25487969	ENSRNOG00000001479.8	Gtf2i
ENSRNOT00000078717.1	chr12	+	25951956	25965673	ENSRNOG00000052043.1	AABR07035864.1
ENSRNOT00000076101.1	chr12	+	28381981	28971289	ENSRNOG00000024435.7	Wbscr17
ENSRNOT00000038092.5	chr12	-	29824980	29919320	ENSRNOG00000024352.6	Tyw1
ENSRNOT00000001202.7	chr12	-	30125167	30180115	ENSRNOG00000000901.7	Crcp
ENSRNOT00000079176.1	chr12	-	30126183	30151415	ENSRNOG00000000901.7	Crcp
ENSRNOT00000035621.3	chr12	-	30534251	30566015	ENSRNOG00000023919.3	Gbas
ENSRNOT00000077977.1	chr12	-	30740519	30811054	ENSRNOG00000000931.7	Sfswap
ENSRNOT00000001235.6	chr12	-	30740566	30810964	ENSRNOG00000000931.7	Sfswap
ENSRNOT00000058586.5	chr12	-	31136740	31249118	ENSRNOG00000023536.7	Adgrd1
ENSRNOT00000073105.1	chr12	-	31136740	31249118	ENSRNOG00000023536.7	Adgrd1
ENSRNOT00000067867.4	chr12	+	31530698	31602565	ENSRNOG00000022893.7	Rimbp2
ENSRNOT00000033379.4	chr12	+	31530698	31602083	ENSRNOG00000022893.7	Rimbp2
ENSRNOT00000086078.1	chr12	+	31536950	31620760	ENSRNOG00000022893.7	Rimbp2
ENSRNOT00000001277.3	chr12	+	32753823	32773277	ENSRNOG00000000962.4	Slc15a4
ENSRNOT00000048474.5	chr12	-	32808021	33016885	ENSRNOG00000000963.7	Tmem132c
ENSRNOT00000090944.1	chr12	-	35972397	36398206	ENSRNOG00000038406.4	Tmem132b
ENSRNOT00000058492.4	chr12	-	36269382	36398246	ENSRNOG00000038406.4	Tmem132b
ENSRNOT00000001334.6	chr12	+	36871998	37033701	ENSRNOG00000001004.7	Ncor2
ENSRNOT00000084236.1	chr12	+	36872019	37032904	ENSRNOG00000001004.7	Ncor2
ENSRNOT00000032739.5	chr12	+	37211315	37237848	ENSRNOG00000021691.5	Ccdc92
ENSRNOT00000057902.3	chr12	+	37593873	37649036	ENSRNOG00000001064.7	Sbno1
ENSRNOT00000088787.1	chr12	+	37594184	37647971	ENSRNOG00000001064.7	Sbno1
ENSRNOT00000088006.1	chr12	+	37603985	37647773	ENSRNOG00000001064.7	Sbno1
ENSRNOT00000048528.4	chr12	+	37805331	37903855	ENSRNOG00000029260.5	Pitpnm2
ENSRNOT00000084587.1	chr12	+	37829578	37889440	ENSRNOG00000029260.5	Pitpnm2
ENSRNOT00000091084.1	chr12	+	37878652	37901502	ENSRNOG00000029260.5	Pitpnm2
ENSRNOT00000001445.5	chr12	+	37984789	38023368	ENSRNOG00000001086.5	Vps37b
ENSRNOT00000063990.3	chr12	-	38200462	38274036	ENSRNOG00000033658.5	Kntc1
ENSRNOT00000001685.7	chr12	+	38345455	38451661	ENSRNOG00000001247.7	Clip1
ENSRNOT00000078530.1	chr12	+	38375415	38451226	ENSRNOG00000001247.7	Clip1
ENSRNOT00000088002.1	chr12	+	38377033	38452652	ENSRNOG00000001247.7	Clip1
ENSRNOT00000030573.5	chr12	+	38524517	38537386	ENSRNOG00000026192.5	Il31
ENSRNOT00000084192.1	chr12	-	38662302	38691075	ENSRNOG00000056017.1	Bcl7a
ENSRNOT00000001752.5	chr12	-	39308024	39325673	ENSRNOG00000001300.7	P2rx4
ENSRNOT00000066952.2	chr12	+	39423595	39506890	ENSRNOG00000001294.5	Ift81
ENSRNOT00000001738.7	chr12	+	39553902	39603326	ENSRNOG00000001285.8	Atp2a2
ENSRNOT00000024347.7	chr12	+	39554170	39601778	ENSRNOG00000001285.8	Atp2a2
ENSRNOT00000048454.3	chr12	+	39699180	39729516	ENSRNOG00000021480.4	Rad9b
ENSRNOT00000001697.7	chr12	+	40018936	40219291	ENSRNOG00000001259.7	Cux2
ENSRNOT00000048984.2	chr12	-	40628004	40680374	ENSRNOG00000001350.6	Naa25
ENSRNOT00000080418.1	chr12	-	40630816	40680397	ENSRNOG00000001350.6	Naa25
ENSRNOT00000001826.7	chr12	-	40713840	40822159	ENSRNOG00000001352.7	Hectd4
ENSRNOT00000041741.4	chr12	+	41155496	41167505	ENSRNOG00000047076.2	Oas1i
ENSRNOT00000048782.4	chr12	-	41255206	41307308	ENSRNOG00000033220.6	Oas1k
ENSRNOT00000049622.4	chr12	+	41281558	41290497	ENSRNOG00000031726.6	Oas1e
ENSRNOT00000057266.5	chr12	+	41281586	41288931	ENSRNOG00000031726.6	Oas1e
ENSRNOT00000001856.6	chr12	-	41416217	41448668	ENSRNOG00000001374.6	Rasal1
ENSRNOT00000079639.1	chr12	+	41543695	41564819	ENSRNOG00000059344.1	Tpcn1
ENSRNOT00000083890.1	chr12	+	41544410	41566847	ENSRNOG00000059344.1	Tpcn1
ENSRNOT00000081780.1	chr12	-	43423904	43576804	ENSRNOG00000001120.7	Med13l
ENSRNOT00000042331.4	chr12	-	43423904	43576754	ENSRNOG00000001120.7	Med13l
ENSRNOT00000001490.6	chr12	-	44141421	44174583	ENSRNOG00000001128.6	Tesc
ENSRNOT00000066810.3	chr12	-	44213942	44520341	ENSRNOG00000001130.8	Nos1
ENSRNOT00000001493.8	chr12	-	44215846	44381289	ENSRNOG00000001130.8	Nos1
ENSRNOT00000071074.2	chr12	-	44536292	44911147	ENSRNOG00000028630.6	Ksr2
ENSRNOT00000046190.5	chr12	-	44538475	44911147	ENSRNOG00000028630.6	Ksr2
ENSRNOT00000001499.6	chr12	-	44942442	44962656	ENSRNOG00000001135.6	Wsb2
ENSRNOT00000075646.3	chr12	+	45199576	45221512	ENSRNOG00000001139.8	Suds3
ENSRNOT00000001507.6	chr12	+	45727111	45882548	ENSRNOG00000001141.6	Srrm4
ENSRNOT00000083569.1	chr12	+	46257342	46287546	ENSRNOG00000053974.1	Tmem233
ENSRNOT00000086716.1	chr12	-	46334664	46494174	ENSRNOG00000001143.8	Cit
ENSRNOT00000041281.5	chr12	-	46334687	46414434	ENSRNOG00000001143.8	Cit
ENSRNOT00000057036.2	chr12	-	46335159	46493203	ENSRNOG00000001143.8	Cit
ENSRNOT00000086531.1	chr12	+	46615648	46703287	ENSRNOG00000056955.1	Ccdc64
ENSRNOT00000089494.1	chr12	+	46615703	46700358	ENSRNOG00000056955.1	Ccdc64
ENSRNOT00000001518.6	chr12	-	46791527	46794797	ENSRNOG00000001148.6	Rplp0
ENSRNOT00000001562.7	chr12	-	47276475	47360507	ENSRNOG00000001178.7	Sppl3
ENSRNOT00000001570.4	chr12	-	47444103	47456894	ENSRNOG00000001187.5	Oasl
ENSRNOT00000001595.5	chr12	-	47558589	47588335	ENSRNOG00000001204.5	Ankrd13a
ENSRNOT00000001586.2	chr12	+	47698946	47737902	ENSRNOG00000001195.2	Trpv4
ENSRNOT00000074000.2	chr12	-	47948246	47987255	ENSRNOG00000047219.2	Ube3b
ENSRNOT00000080049.1	chr12	-	47953335	47990105	ENSRNOG00000047219.2	Ube3b
ENSRNOT00000065060.2	chr12	+	48101672	48121270	ENSRNOG00000000691.5	Foxn4
