chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr7,29066,28577415,28577417,0.594,0.822,10,23,4
chr7,29067,28578736,28578738,0.659,0.849,10,38,4
chr7,29068,28600002,28600004,0.568,0.8,46,91,20
chr7,29070,28761638,28761640,0.437,0.684,33,47,9
chr7,29071,28858872,28858874,0.619,0.869,20,18,3
chr7,29072,28865033,28865035,0.636,0.847,22,39,3
chr7,29074,29028524,29028526,0.668,0.884,9,24,3
chr7,29075,29066375,29066377,0.88,0.673,17,26,4
chr7,29076,29083621,29083623,0.633,0.358,13,30,6
chr7,29078,29086168,29086170,0.778,0.559,21,66,11
chr7,29079,29120747,29120749,0.816,0.604,7,20,4
chr7,29080,29205127,29205129,0.44,0.647,32,75,8
chr7,29081,29221961,29221963,0.722,0.484,34,98,10
chr7,29083,29351330,29351332,0.6,0.809,7,23,4
chr7,29086,29563041,29563043,0.622,0.888,20,57,8
chr7,29087,29993747,29993749,0.396,0.593,37,72,9
chr7,29088,30003100,30003102,0.543,0.755,27,63,12
chr7,29090,30058760,30058762,0.403,0.694,17,48,8
chr7,29091,30192642,30192644,0.688,0.893,24,62,9
chr7,29092,30319524,30319526,0.641,0.855,24,44,5
chr7,29093,30320199,30320201,0.487,0.719,4,24,3
chr7,29094,30343143,30343145,0.832,0.507,12,29,7
chr7,29095,30366862,30366864,0.423,0.69,24,51,8
chr7,29096,30371903,30371905,0.548,0.76,17,58,7
chr7,29098,30407704,30407706,0.397,0.82,12,51,8
chr7,29099,30409126,30409128,0.458,0.775,33,36,12
chr7,29100,30453296,30453298,0.676,0.434,75,106,12
chr7,29103,30492266,30492268,0.72,0.506,86,169,19
chr7,29105,30531026,30531028,0.679,0.884,14,26,7
chr7,29107,30666942,30666944,0.731,0.939,39,71,8
chr7,29113,30983877,30983879,0.561,0.769,11,21,5
chr7,29114,31105353,31105355,0.658,0.375,47,128,18
chr7,29116,31195053,31195055,0.675,0.877,19,57,9
chr7,29118,31337287,31337289,0.531,0.779,85,167,21
chr7,29121,31400875,31400877,0.359,0.594,6,14,3
chr7,29122,31425052,31425054,0.669,0.884,18,72,7
chr7,29123,31493475,31493477,0.828,0.582,38,99,9
chr7,29124,31643119,31643121,0.463,0.242,9,8,4
chr7,29125,31821499,31821501,0.711,0.931,10,25,6
chr7,29130,32047285,32047287,0.744,0.954,20,19,3
chr7,29135,32363981,32363983,0.673,0.464,8,27,7
chr7,29137,32384927,32384929,0.511,0.712,12,20,3
chr7,29140,32388295,32388297,0.695,0.897,5,15,4
chr7,29144,32767958,32767960,0.551,0.785,10,27,4
chr7,29145,32949700,32949702,0.809,0.594,44,128,16
chr7,29146,33016858,33016860,0.773,0.54,22,102,17
chr7,29149,33470267,33470269,0.333,0.544,8,21,6
chr7,29151,33506830,33506832,0.811,0.449,35,92,15
chr7,29153,33807470,33807472,0.689,0.916,26,51,10
chr7,29154,33838309,33838311,0.628,0.835,19,32,6
chr7,29156,33943812,33943814,0.833,0.539,23,57,11
chr7,29158,34000266,34000268,0.537,0.772,12,35,5
chr7,29159,34056312,34056314,0.552,0.761,18,38,5
chr7,29160,34117159,34117161,0.782,0.441,109,267,30
chr7,29161,34289391,34289393,0.505,0.244,13,26,6
chr7,29162,34407043,34407045,0.32,0.565,12,43,7
chr7,29164,34582449,34582451,0.574,0.873,26,59,10
chr7,29166,34611686,34611688,0.597,0.788,40,123,13
chr7,29167,34627972,34627974,0.818,0.592,32,93,17
chr7,29168,34672723,34672725,0.37,0.571,22,31,7
chr7,29169,34673445,34673447,0.573,0.787,16,50,5
chr7,29171,34680860,34680862,0.723,0.928,11,31,3
chr7,29172,34681387,34681389,0.722,0.923,4,30,3
chr7,29173,34712030,34712032,0.471,0.8,19,39,12
chr7,29175,34973100,34973102,0.92,0.694,14,52,8
chr7,29177,35051930,35051932,0.771,0.558,6,22,4
chr7,29179,35106305,35106307,0.46,0.687,47,102,18
chr7,29181,35147294,35147296,0.665,0.45,11,23,4
chr7,29182,35402470,35402472,0.528,0.721,25,35,7
chr7,29183,35452107,35452109,0.617,0.412,14,49,5
chr7,29184,35478798,35478800,0.674,0.869,11,34,3
chr7,29185,35541469,35541471,0.46,0.653,27,62,6
chr7,29186,35713023,35713025,0.716,0.937,29,41,9
chr7,29188,35857392,35857394,0.805,0.587,39,103,10
chr7,29189,35858008,35858010,0.854,0.593,35,142,13
chr7,29190,35858718,35858720,0.898,0.69,12,34,4
chr7,29191,35982912,35982914,0.666,0.434,19,39,4
chr7,29192,36013957,36013959,0.53,0.313,8,36,5
chr7,29193,36102267,36102269,0.554,0.788,10,40,4
chr7,29194,36102948,36102950,0.487,0.789,101,212,26
chr7,29195,36192438,36192440,0.515,0.719,14,10,4
chr7,29196,36325059,36325061,0.712,0.93,30,88,15
chr7,29199,36569296,36569298,0.623,0.847,9,18,3
chr7,29200,36598507,36598509,0.301,0.62,10,15,4
chr7,29201,36599500,36599502,0.557,0.824,20,50,6
chr7,29203,36660835,36660837,0.059,0.377,14,22,5
chr7,29204,36713617,36713619,0.349,0.571,71,152,19
chr7,29205,36757988,36757990,0.828,0.581,22,68,9
chr7,29206,36923408,36923410,0.693,0.885,5,16,3
chr7,29211,37349494,37349496,0.809,0.591,8,33,3
chr7,29212,37377147,37377149,0.41,0.208,8,14,3
chr7,29213,37479260,37479262,0.626,0.812,11,24,3
chr7,29217,37697362,37697364,0.564,0.757,12,32,7
chr7,29219,37898646,37898648,0.884,0.64,4,7,3
chr7,29220,38151039,38151041,0.66,0.872,58,162,16
chr7,29221,38267814,38267816,0.817,0.615,3,18,3
chr7,29223,38315685,38315687,0.655,0.401,29,77,11
chr7,29224,38448819,38448821,0.501,0.732,15,26,8
chr7,29232,39068269,39068271,0.681,0.908,8,21,3
chr7,29233,39069969,39069971,0.725,0.924,16,17,4
chr7,29234,39469956,39469958,0.849,0.616,24,74,8
chr7,29235,39817912,39817914,0.529,0.874,24,67,10
chr7,29238,39916590,39916592,0.868,0.666,12,42,5
chr7,29248,40313906,40313908,0.393,0.746,9,19,3
chr7,29249,40316746,40316748,0.595,0.869,13,39,7
chr7,29250,40621358,40621360,0.964,0.747,8,8,3
chr7,29251,40621957,40621959,0.962,0.732,11,13,4
chr7,29252,40623007,40623009,0.953,0.752,3,26,3
chr7,29254,40746448,40746450,0.845,0.611,10,41,4
chr7,29256,40956195,40956197,0.559,0.791,6,14,3
chr7,29259,41147743,41147745,0.74,0.534,20,69,10
chr7,29260,41245659,41245661,0.626,0.812,11,11,3
chr7,29261,41246014,41246016,0.592,0.818,6,11,3
chr7,29262,41246595,41246597,0.633,0.836,22,119,8
chr7,29263,41617170,41617172,0.571,0.762,10,20,4
chr7,29264,41662055,41662057,0.645,0.844,21,63,10
chr7,29266,41670938,41670940,0.774,0.537,34,39,11
chr7,29267,41760481,41760483,0.694,0.438,7,30,6
chr7,29271,42151360,42151362,0.621,0.821,18,28,5
chr7,29272,42169427,42169429,0.49,0.195,20,70,12
chr7,29273,42258630,42258632,0.499,0.759,25,112,13
chr7,29276,42268834,42268836,0.227,0.504,9,27,5
chr7,29285,42965998,42966000,0.892,0.672,4,15,4
chr7,29300,43987101,43987103,0.865,0.616,9,22,3
chr7,29305,44147912,44147914,0.606,0.793,15,24,4
chr7,29308,44171016,44171018,0.66,0.874,10,37,6
chr7,29309,44252392,44252394,0.569,0.827,20,40,8
chr7,29311,44254030,44254032,0.546,0.842,15,10,5
chr7,29312,44255500,44255502,0.563,0.851,9,17,4
chr7,29313,44255994,44255996,0.599,0.85,10,84,8
chr7,29316,44649524,44649526,0.499,0.938,6,11,3
chr7,29317,44716863,44716865,0.85,0.642,6,8,3
chr7,29321,45066251,45066253,0.626,0.83,11,18,4
chr7,29324,45068130,45068132,0.626,0.85,18,41,5
chr7,29326,45188782,45188784,0.443,0.721,18,34,5
chr7,29327,45189449,45189451,0.564,0.924,4,10,3
chr7,29329,45325117,45325119,0.677,0.877,9,29,4
chr7,29330,45325965,45325967,0.616,0.851,9,18,5
chr7,29331,45327270,45327272,0.227,0.524,7,29,5
chr7,29338,47454253,47454255,0.505,0.706,80,197,22
chr7,29339,47502290,47502292,0.429,0.652,56,128,16
chr7,29340,47503817,47503819,0.393,0.595,6,21,3
chr7,29341,47825064,47825066,0.661,0.849,7,19,3
chr7,29344,47826684,47826686,0.651,0.842,9,26,5
chr7,29345,47927395,47927397,0.417,0.691,15,34,5
chr7,29355,48700379,48700381,0.834,0.581,15,16,7
chr7,29356,48701659,48701661,0.663,0.372,16,12,5
chr7,29357,48702561,48702563,0.528,0.302,23,44,9
chr7,29358,48791330,48791332,0.847,0.644,23,53,8
chr7,29359,49139221,49139223,0.783,0.571,9,21,3
chr7,29363,49256840,49256842,0.496,0.699,7,13,4
chr7,29366,49428286,49428288,0.388,0.617,11,23,5
chr7,29367,50170359,50170361,0.78,0.568,19,13,3
chr7,29368,50170890,50170892,0.755,0.547,7,53,3
chr7,29370,50274688,50274690,0.946,0.74,6,18,3
chr7,29372,50634650,50634652,0.5,0.73,5,28,5
chr7,29377,51241372,51241374,0.499,0.69,18,18,3
chr7,29378,51347039,51347041,0.505,0.745,41,73,14
chr7,29385,51834363,51834365,0.746,0.528,9,18,3
chr7,29386,51886005,51886007,0.741,0.493,79,139,16
chr7,29387,51887049,51887051,0.802,0.47,6,15,4
chr7,29389,52029547,52029549,0.668,0.859,6,18,3
chr7,29391,52328180,52328182,0.387,0.614,16,29,4
chr7,29394,52358711,52358713,0.52,0.731,15,57,5
chr7,29395,52401856,52401858,0.721,0.929,19,44,6
chr7,29396,52758069,52758071,0.8,0.52,8,37,4
chr7,29397,52758681,52758683,0.792,0.489,6,16,3
chr7,29400,52967776,52967778,0.453,0.193,6,18,3
chr7,29404,53971592,53971594,0.789,0.574,6,7,3
chr7,29405,54026551,54026553,0.663,0.922,12,31,3
chr7,29406,54074462,54074464,0.485,0.277,34,79,12
chr7,29407,54084803,54084805,0.275,0.504,24,61,9
chr7,29409,54307509,54307511,0.547,0.782,26,50,8
chr7,29410,54436394,54436396,0.569,0.76,9,33,4
chr7,29412,54482315,54482317,0.786,0.535,27,61,12
chr7,29413,54533697,54533699,0.745,0.539,16,30,6
chr7,29414,54699013,54699015,0.519,0.769,19,58,8
chr7,29415,54699765,54699767,0.399,0.604,32,62,7
chr7,29416,54711909,54711911,0.671,0.875,9,30,6
chr7,29417,54754977,54754979,0.688,0.881,18,41,5
chr7,29418,54855987,54855989,0.29,0.546,13,30,7
chr7,29419,54859851,54859853,0.39,0.594,23,47,7
chr7,29420,55555325,55555327,0.634,0.411,14,51,6
chr7,29423,55842016,55842018,0.871,0.646,9,35,6
chr7,29428,57596839,57596841,0.623,0.861,9,36,4
chr7,29430,57659012,57659014,0.838,0.601,45,88,10
chr7,29431,57659887,57659889,0.864,0.626,22,72,10
chr7,29432,57664121,57664123,0.377,0.638,17,48,9
chr7,29434,58218588,58218590,0.563,0.254,12,18,3
chr7,29439,58561108,58561110,0.407,0.598,5,15,3
chr7,29440,58573029,58573031,0.673,0.452,13,46,8
chr7,29441,58589156,58589158,0.829,0.582,6,18,4
chr7,29442,58660788,58660790,0.61,0.339,38,67,13
chr7,29443,58670237,58670239,0.556,0.765,8,13,3
chr7,29447,59182212,59182214,0.747,0.987,3,10,3
chr7,29451,59682871,59682873,0.614,0.396,8,36,3
chr7,29452,59793888,59793890,0.795,0.589,19,28,5
chr7,29458,60123351,60123353,0.353,0.123,14,26,5
chr7,29463,60440500,60440502,0.721,0.925,12,36,4
chr7,29464,60440875,60440877,0.672,0.871,13,31,6
chr7,29465,60471327,60471329,0.465,0.759,46,168,18
chr7,29466,60601242,60601244,0.53,0.756,11,33,6
chr7,29468,60653419,60653421,0.276,0.527,4,19,3
chr7,29469,60704685,60704687,0.552,0.763,39,119,18
chr7,29471,60778532,60778534,0.468,0.704,14,25,4
chr7,29472,60823855,60823857,0.485,0.723,14,18,4
chr7,29477,61510439,61510441,0.575,0.794,8,22,4
chr7,29478,61517334,61517336,0.662,0.872,63,151,15
chr7,29481,61622669,61622671,0.769,0.558,12,32,5
chr7,29482,61710434,61710436,0.641,0.837,44,41,12
chr7,29483,61801193,61801195,0.181,0.436,5,25,4
chr7,29484,61874437,61874439,0.68,0.423,131,252,38
chr7,29485,61912275,61912277,0.675,0.9,6,13,3
chr7,29486,61980434,61980436,0.564,0.351,23,42,5
chr7,29488,62009010,62009012,0.636,0.89,5,17,3
chr7,29489,62009472,62009474,0.671,0.879,10,27,6
chr7,29490,62074472,62074474,0.699,0.889,20,50,7
chr7,29492,62099595,62099597,0.635,0.822,9,13,3
chr7,29494,62160555,62160557,0.332,0.041,15,25,4
chr7,29496,62234231,62234233,0.528,0.732,21,49,9
chr7,29498,62346060,62346062,0.922,0.711,9,40,4
chr7,29499,62408238,62408240,0.669,0.91,42,109,15
chr7,29501,62475142,62475144,0.669,0.912,6,21,4
chr7,29505,62482926,62482928,0.545,0.322,55,152,15
chr7,29507,62556126,62556128,0.609,0.818,39,41,12
chr7,29512,62797095,62797097,0.549,0.786,15,57,7
chr7,29513,62882148,62882150,0.829,0.593,32,83,12
chr7,29515,63043943,63043945,0.654,0.178,3,5,3
chr7,29516,63092658,63092660,0.77,0.538,14,26,3
chr7,29517,63093486,63093488,0.621,0.343,15,33,7
chr7,29518,63096039,63096041,0.568,0.783,21,29,6
chr7,29521,63123411,63123413,0.913,0.68,29,87,11
chr7,29522,63248299,63248301,0.559,0.775,30,53,10
chr7,29523,63364047,63364049,0.831,0.621,10,26,6
chr7,29524,63408096,63408098,0.163,0.405,20,76,8
chr7,29530,63943195,63943197,0.629,0.839,58,79,16
chr7,29531,63990097,63990099,0.95,0.675,14,15,6
chr7,29532,64078830,64078832,0.724,0.469,9,19,4
chr7,29534,64079846,64079848,0.632,0.371,10,39,6
chr7,29535,64095528,64095530,0.693,0.889,4,8,3
chr7,29536,64339732,64339734,0.341,0.578,15,23,6
chr7,29537,64538298,64538300,0.622,0.819,9,15,5
chr7,29540,64608099,64608101,0.669,0.87,5,21,3
chr7,29541,64670825,64670827,0.727,0.464,11,26,6
chr7,29542,64988481,64988483,0.646,0.362,18,55,7
chr7,29544,65005584,65005586,0.5,0.71,3,23,3
chr7,29545,65013938,65013940,0.857,0.594,6,29,5
chr7,29546,65045744,65045746,0.525,0.81,19,69,10
chr7,29548,65113946,65113948,0.644,0.373,62,154,14
chr7,29549,65212015,65212017,0.772,0.471,8,8,3
chr7,29550,65216677,65216679,0.722,0.504,53,151,19
chr7,29551,65238471,65238473,0.88,0.481,13,38,8
chr7,29552,65270977,65270979,0.644,0.86,6,12,3
chr7,29553,65271793,65271795,0.461,0.74,18,39,5
chr7,29556,65315788,65315790,0.848,0.624,21,81,15
chr7,29557,65499617,65499619,0.374,0.585,45,123,13
chr7,29558,65567587,65567589,0.891,0.642,26,64,7
chr7,29560,66072123,66072125,0.616,0.821,5,19,4
chr7,29563,66194663,66194665,0.899,0.684,16,33,6
chr7,29566,66412075,66412077,0.668,0.345,44,92,16
chr7,29570,66597586,66597588,0.619,0.866,4,6,3
chr7,29571,66707728,66707730,0.624,0.833,8,26,4
chr7,29572,66718123,66718125,0.785,0.492,26,65,6
chr7,29576,66899320,66899322,0.747,0.504,33,99,14
chr7,29578,67346296,67346298,0.689,0.445,35,82,15
chr7,29579,67445090,67445092,0.538,0.767,4,8,4
chr7,29580,68046806,68046808,0.652,0.865,11,23,4
chr7,29581,68047715,68047717,0.635,0.866,10,19,4
chr7,29582,68048483,68048485,0.665,0.875,9,15,4
chr7,29585,68514896,68514898,0.647,0.848,29,37,6
chr7,29588,69250067,69250069,0.622,0.814,10,42,5
chr7,29589,69591027,69591029,0.442,0.715,82,192,23
chr7,29592,70006263,70006265,0.694,0.911,15,40,5
chr7,29593,70097080,70097082,0.579,0.362,21,54,8
chr7,29595,70152710,70152712,0.585,0.384,9,14,4
chr7,29598,70262212,70262214,0.641,0.885,25,92,13
chr7,29599,70266029,70266031,0.455,0.662,31,57,5
chr7,29600,70354383,70354385,0.392,0.582,13,19,3
chr7,29602,70480458,70480460,0.595,0.381,20,47,5
chr7,29603,70500170,70500172,0.761,0.984,11,22,3
chr7,29606,70676168,70676170,0.55,0.789,5,28,4
chr7,29607,70722919,70722921,0.348,0.555,6,25,3
chr7,29608,70817689,70817691,0.513,0.309,15,28,4
chr7,29609,70887066,70887068,0.84,0.637,35,63,8
chr7,29610,70925135,70925137,0.44,0.224,9,37,4
chr7,29611,70928655,70928657,0.711,0.257,12,8,3
chr7,29615,70943814,70943816,0.393,0.623,22,69,6
chr7,29618,71208838,71208840,0.509,0.708,60,133,18
chr7,29619,71235118,71235120,0.784,0.517,31,69,8
chr7,29623,71571749,71571751,0.87,0.664,7,12,4
chr7,29624,71706621,71706623,0.487,0.957,15,39,8
chr7,29626,72596759,72596761,0.864,0.634,6,10,3
chr7,29627,72597153,72597155,0.865,0.537,14,39,7
chr7,29628,72598170,72598172,0.876,0.612,11,25,3
chr7,29634,72771796,72771798,0.58,0.159,11,9,4
chr7,29636,72924251,72924253,0.139,0.354,5,7,3
chr7,29637,72952787,72952789,0.575,0.764,14,31,3
chr7,29638,72953169,72953171,0.518,0.714,7,23,4
chr7,29639,73028516,73028518,0.573,0.347,47,99,14
chr7,29641,73448907,73448909,0.177,0.383,17,38,5
chr7,29644,73682601,73682603,0.536,0.745,24,39,8
chr7,29646,74055613,74055615,0.44,0.717,15,28,5
chr7,29647,74056619,74056621,0.674,0.864,4,30,3
chr7,29649,74386050,74386052,0.824,0.562,11,19,4
chr7,29651,74648587,74648589,0.782,0.467,10,25,3
chr7,29654,74937470,74937472,0.595,0.327,12,32,5
chr7,29655,74939457,74939459,0.477,0.688,23,44,5
chr7,29656,74944423,74944425,0.548,0.862,15,36,4
chr7,29657,74988488,74988490,0.338,0.693,16,36,6
chr7,29659,74991135,74991137,0.769,0.984,10,33,4
chr7,29661,75048012,75048014,0.781,0.505,31,107,13
chr7,29665,75095533,75095535,0.685,0.932,8,20,3
chr7,29667,75171475,75171477,0.664,0.865,18,46,4
chr7,29669,75300983,75300985,0.534,0.847,37,98,7
chr7,29670,75391366,75391368,0.592,0.371,19,63,8
chr7,29673,75520339,75520341,0.161,0.381,4,14,3
chr7,29674,75598842,75598844,0.935,0.706,16,25,6
chr7,29675,75784838,75784840,0.559,0.327,48,83,14
chr7,29677,75869233,75869235,0.844,0.576,18,47,6
chr7,29679,75921689,75921691,0.547,0.751,6,9,4
chr7,29680,75943959,75943961,0.352,0.734,21,54,10
chr7,29681,76192480,76192482,0.797,0.584,38,51,8
chr7,29682,76269999,76270001,0.658,0.869,15,35,3
chr7,29683,76271135,76271137,0.421,0.643,27,85,12
chr7,29684,76295392,76295394,0.315,0.527,14,21,3
chr7,29686,76319664,76319666,0.533,0.822,7,47,4
chr7,29687,76555181,76555183,0.775,0.556,31,41,7
chr7,29688,76555983,76555985,0.778,0.567,15,32,6
chr7,29689,76653356,76653358,0.588,0.79,14,38,7
chr7,29691,77037608,77037610,0.427,0.639,5,6,3
chr7,29692,77100596,77100598,0.476,0.822,25,63,7
chr7,29694,77251677,77251679,0.579,0.78,11,72,7
chr7,29696,77313711,77313713,0.589,0.781,7,26,4
chr7,29699,77434919,77434921,0.537,0.73,10,32,5
chr7,29702,77597263,77597265,0.744,0.952,15,41,5
chr7,29706,77627143,77627145,0.6,0.855,6,14,3
chr7,29712,77970472,77970474,0.834,0.498,15,82,6
chr7,29713,77971263,77971265,0.86,0.649,14,30,4
chr7,29716,78089241,78089243,0.472,0.855,20,29,11
chr7,29722,78559465,78559467,0.381,0.649,40,69,9
chr7,29723,78783902,78783904,0.714,0.931,16,37,6
chr7,29724,78929173,78929175,0.559,0.246,7,14,4
chr7,29725,79039559,79039561,0.782,0.582,6,15,3
chr7,29726,79334325,79334327,0.505,0.719,28,75,12
chr7,29727,79526456,79526458,0.998,0.785,12,22,3
chr7,29728,79676463,79676465,0.747,0.942,9,13,3
chr7,29729,79685243,79685245,0.458,0.647,23,27,6
chr7,29730,79808215,79808217,0.965,0.742,7,19,4
chr7,29733,79809635,79809637,0.954,0.709,6,17,3
chr7,29735,79920996,79920998,0.574,0.784,20,48,9
chr7,29736,80151215,80151217,0.849,0.634,11,39,6
chr7,29739,81765427,81765429,0.576,0.791,6,18,4
chr7,29743,82338256,82338258,0.301,0.08,21,55,10
chr7,29744,82639606,82639608,0.479,0.698,6,28,4
chr7,29747,82642178,82642180,0.599,0.87,10,27,3
chr7,29748,82642995,82642997,0.659,0.906,7,16,3
chr7,29750,82690224,82690226,0.129,0.524,5,12,3
chr7,29751,82691315,82691317,0.6,0.968,14,31,7
chr7,29754,82701825,82701827,0.754,0.948,22,50,9
chr7,29755,82759245,82759247,0.495,0.262,41,140,16
chr7,29757,83075659,83075661,0.699,0.891,28,62,10
chr7,29759,83563686,83563688,0.541,0.753,9,10,3
chr7,29760,83633250,83633252,0.535,0.736,31,45,6
chr7,29763,83677470,83677472,0.763,0.499,22,56,10
chr7,29764,83678720,83678722,0.71,0.426,10,19,3
chr7,29767,83700393,83700395,0.832,0.619,3,6,3
chr7,29768,83725847,83725849,0.732,0.526,14,20,3
chr7,29769,83726952,83726954,0.653,0.424,26,86,13
chr7,29771,84061621,84061623,0.69,0.904,9,12,5
chr7,29772,84062589,84062591,0.658,0.91,7,19,3
chr7,29779,85072375,85072377,0.663,0.861,10,26,4
chr7,29782,85546201,85546203,0.643,0.836,6,19,4
chr7,29783,85546981,85546983,0.637,0.836,10,21,5
chr7,29788,86021810,86021812,0.915,0.701,3,7,3
chr7,29792,86465133,86465135,0.72,0.907,8,9,3
chr7,29795,86919861,86919863,0.683,0.871,8,10,4
chr7,29796,87095916,87095918,0.964,0.761,14,29,4
chr7,29797,88055969,88055971,0.685,0.877,6,21,4
chr7,29802,88199256,88199258,0.353,0.122,12,25,4
chr7,29803,88213454,88213456,0.565,0.806,12,12,4
chr7,29806,88946993,88946995,0.652,0.899,12,23,3
chr7,29808,89660249,89660251,0.738,0.933,9,24,5
chr7,29810,89976972,89976974,0.704,0.485,9,15,5
chr7,29811,90422923,90422925,0.717,0.467,36,97,12
chr7,29812,91133176,91133178,0.447,0.67,38,110,14
chr7,29813,91171375,91171377,0.546,0.341,27,89,12
chr7,29814,91225235,91225237,0.868,0.662,27,79,7
chr7,29816,91285606,91285608,0.727,0.983,10,25,3
chr7,29821,91693604,91693606,0.656,0.876,65,135,16
chr7,29827,92648267,92648269,0.658,0.854,8,16,3
chr7,29828,92664865,92664867,0.767,0.555,8,37,4
chr7,29830,93192014,93192016,0.377,0.669,7,29,5
chr7,29831,93219092,93219094,0.731,0.954,9,14,6
chr7,29832,93503317,93503319,0.314,0.616,7,25,4
chr7,29834,93828826,93828828,0.681,0.875,15,33,3
chr7,29835,94283968,94283970,0.875,0.665,8,28,7
chr7,29836,94561565,94561567,0.375,0.616,35,59,8
chr7,29837,94756846,94756848,0.5,0.738,23,59,4
chr7,29841,94923080,94923082,0.65,0.851,8,22,3
chr7,29842,94967513,94967515,0.737,0.482,22,75,8
chr7,29845,95386297,95386299,0.623,0.93,6,22,6
chr7,29847,95910704,95910706,0.925,0.717,10,10,4
chr7,29849,96281826,96281828,0.643,0.881,8,13,3
chr7,29852,96284152,96284154,0.652,0.918,3,9,3
chr7,29853,96284963,96284965,0.68,0.92,5,13,4
chr7,29855,96385269,96385271,0.936,0.658,9,15,3
chr7,29856,96385830,96385832,0.935,0.692,5,14,3
chr7,29860,97520057,97520059,0.621,0.81,6,13,4
chr7,29863,97561970,97561972,0.665,0.452,7,20,3
chr7,29864,97562506,97562508,0.684,0.462,36,83,9
chr7,29868,97975987,97975989,0.601,0.827,9,36,3
chr7,29872,98507547,98507549,0.612,0.809,22,67,6
chr7,29873,98634934,98634936,0.887,0.686,21,45,4
chr7,29874,98688277,98688279,0.647,0.847,12,43,7
chr7,29875,98689366,98689368,0.618,0.815,6,12,3
chr7,29879,98710716,98710718,0.58,0.348,6,31,4
chr7,29883,98811716,98811718,0.106,0.435,22,38,6
chr7,29884,98957775,98957777,0.267,0.485,14,34,6
chr7,29885,99023900,99023902,0.715,0.425,21,68,6
chr7,29886,99044219,99044221,0.944,0.716,28,60,9
chr7,29887,99058264,99058266,0.512,0.307,12,32,6
chr7,29888,99523863,99523865,0.528,0.743,25,67,5
chr7,29889,99952106,99952108,0.778,0.533,12,33,4
chr7,29890,100301721,100301723,0.081,0.55,4,19,3
chr7,29891,100302687,100302689,0.44,0.743,19,37,7
chr7,29892,100459236,100459238,0.75,0.547,3,8,3
chr7,29893,100459590,100459592,0.76,0.534,8,16,3
chr7,29894,100460230,100460232,0.772,0.54,4,4,3
chr7,29896,101169266,101169268,0.68,0.465,13,59,6
chr7,29901,101955289,101955291,0.68,0.923,14,51,6
chr7,29903,102203316,102203318,0.811,0.572,19,25,6
chr7,29904,102204437,102204439,0.813,0.559,3,9,3
chr7,29906,102356348,102356350,0.715,0.408,9,14,3
chr7,29911,102694482,102694484,0.367,0.648,7,35,4
chr7,29912,102752415,102752417,0.799,0.594,15,43,5
chr7,29915,104588101,104588103,0.802,0.572,23,81,9
chr7,29916,104642694,104642696,0.661,0.88,10,26,3
chr7,29918,104911090,104911092,0.846,0.577,16,23,6
chr7,29925,105376655,105376657,0.902,0.701,4,27,3
chr7,29928,105846140,105846142,0.701,0.919,7,17,3
chr7,29932,105951064,105951066,0.735,0.93,22,58,7
chr7,29945,106416936,106416938,0.488,0.746,4,17,3
chr7,29947,106534855,106534857,0.863,0.568,5,26,3
chr7,29949,107273054,107273056,0.913,0.604,5,13,3
chr7,29951,107717986,107717988,0.853,0.612,30,74,9
chr7,29952,107773903,107773905,0.707,0.434,13,37,3
chr7,29955,108755627,108755629,0.76,0.511,13,30,4
chr7,29958,109678142,109678144,0.595,0.794,12,19,3
chr7,29963,109736707,109736709,0.559,0.772,9,27,4
chr7,29965,110043328,110043330,0.689,0.475,28,109,11
chr7,29966,110143818,110143820,0.903,0.687,16,32,6
chr7,29971,110470765,110470767,0.675,0.893,35,17,8
chr7,29975,110525694,110525696,0.644,0.843,9,14,3
chr7,29978,110993260,110993262,0.865,0.655,10,14,6
chr7,29982,111653470,111653472,0.434,0.651,20,34,4
chr7,29993,112184707,112184709,0.844,0.581,8,18,5
chr7,29994,112566291,112566293,0.754,0.543,13,30,4
chr7,29995,113251143,113251145,0.512,0.297,32,70,10
chr7,29996,113650798,113650800,0.566,0.754,29,67,6
chr7,29997,113693915,113693917,0.88,0.625,26,90,14
chr7,29998,113703728,113703730,0.602,0.801,15,68,7
chr7,30000,113772772,113772774,0.874,0.636,22,45,9
chr7,30002,113794464,113794466,0.661,0.874,26,42,9
chr7,30003,114210600,114210602,0.332,0.52,43,72,10
chr7,30004,114240746,114240748,0.629,0.818,6,29,3
chr7,30005,114241376,114241378,0.617,0.837,7,21,3
chr7,30006,114243295,114243297,0.68,0.882,4,15,3
chr7,30007,114302145,114302147,0.725,0.404,16,60,5
chr7,30008,114322993,114322995,0.568,0.77,9,26,3
chr7,30009,114324439,114324441,0.366,0.621,4,18,3
chr7,30012,114325751,114325753,0.605,0.847,15,46,6
chr7,30013,114733934,114733936,0.637,0.828,19,17,4
chr7,30015,114971747,114971749,0.593,0.359,10,29,3
chr7,30018,115506709,115506711,0.594,0.786,34,71,7
chr7,30019,115507334,115507336,0.593,0.792,10,76,5
chr7,30020,115711018,115711020,0.485,0.691,22,37,5
chr7,30021,115752717,115752719,0.779,0.566,18,27,4
chr7,30022,115757609,115757611,0.303,0.594,22,51,4
chr7,30023,115947208,115947210,0.258,0.558,8,19,4
chr7,30027,115989075,115989077,0.55,0.821,11,41,5
chr7,30029,116067615,116067617,0.686,0.879,23,58,7
